"month","count","count.35","count.64","count.96"
"04",4,2,NA,NA
"05",10,6,1,NA
"06",28,19,4,NA
"07",53,35,18,6
"08",123,101,52,25
"09",154,124,78,40
"10",73,63,34,9
"11",25,22,17,3
"12",6,5,1,NA
